,Material_,year_,PKT real_sum,StandardDeviation_mean
647,2200372,2022,57677,81.6192061670279
648,2200373,2022,69180,72.58451866864682
649,2200374,2022,54113,133.84309641006493
650,2200375,2022,17304,48.347649991522125
651,2200413,2022,22415,62.441133614165196
652,2200434,2022,8712,17.883246766003264
653,2200438,2022,72785,124.9614845681575
654,2200439,2022,83199,130.60616975040725
655,2200440,2022,167777,70.64139282036838
656,2200441,2022,32928,42.48288661542694
657,2200442,2022,16528,49.543368475827556
658,2200443,2022,32210,54.33950506369065
659,2200444,2022,128442,146.05827658356907
660,2200445,2022,150554,119.6980609529514
661,2200446,2022,122174,74.87353043795457
662,2200447,2022,73980,40.03935192660877
663,2200492,2022,249509,130.42794133729976
664,2200493,2022,175988,128.86992163935167
665,2200699,2022,9861,41.69230046562934
666,2200700,2022,2225,16.194410507440935
667,2200732,2022,100949,55.632467375043994
668,2200733,2022,218613,75.0004747123006
669,2200734,2022,88121,40.41548770010795
670,2200737,2022,139864,50.37462934763264
671,2200808,2022,35806,78.6831102223559
672,2200894,2022,170609,323.17103574356577
673,2200894,2023,31660,323.17103574356577
674,2201073,2022,63505,24.15796442839906
675,2201242,2022,4831,104.64082674685405
676,2201243,2022,35178,77.29728302740455
677,2201244,2022,26524,293.86099778808796
678,2201245,2022,26189,62.88036126419995
679,2201246,2022,18877,84.77428785904765
680,2201247,2022,29002,114.96011930021626
681,2201248,2022,13968,25.110117442532115
682,2201249,2022,16126,50.12991847736142
683,2201250,2022,18647,163.25882107987465
684,2201251,2022,4871,268.430267876261
685,2201252,2022,5271,75.98102552161454
686,2201253,2022,7261,350.21787662983616
687,2201254,2022,16545,96.89062264744372
688,2201264,2023,15501,11.739803170493905
689,2201264,2024,1540,11.739803170493905
690,2201589,2023,20219,10.835544725848033
691,2201589,2024,4018,10.835544725848031
692,2201590,2023,16181,10.642009785505225
693,2201590,2024,3216,10.642009785505225
694,2201591,2023,27326,12.495663301143688
695,2201591,2024,4541,12.49566330114369
696,2201592,2023,33382,14.201339771167314
697,2201592,2024,5055,14.201339771167312
698,2201593,2023,21364,11.22889750068596
